id,title,description,content,source,publishedAt,URL,imgURL,category
71,Six Plant-Based Compounds Show Neuroprotective Potential - Neuroscience News,"Researchers identified specific plant compounds that provide antioxidant and neuroprotective effects, contributing to brain health beyond basic nutrition.","Summary: Researchers identified specific plant compounds that provide antioxidant and neuroprotective effects, contributing to brain health beyond basic nutrition. By analyzing plant-based foods like… [+6658 chars]",Neurosciencenews.com,2024-12-02 21:25:56,https://neurosciencenews.com/neuroprotection-plant-compounds-28157/,https://neurosciencenews.com/files/2024/12/plant-compounds-brain-health-neurosicence.jpg,Science
79,BepiColombo probe captures haunting Mercury image on 5th of 6 gravity assist flybys (photo) - Space.com,"The European-Japanese BepiColombo probe made a close flyby of Mercury on Dec. 1, 2024 and captured an image of the planet.","The BepiColombo Mercury probe flew close to our solar system''s innermost planet this week, capturing another haunting image as it zoomed by.
On Sunday (Dec. 1), BepiColombo made its fifth of six fly… [+2363 chars]",Space.com,2024-12-02 21:45:37,https://www.space.com/the-universe/mercury/bepicolombo-probe-captures-haunting-mercury-image-on-5th-of-6-gravity-assist-flybys-photo,https://cdn.mos.cms.futurecdn.net/vhk4fRq7EQR6xVPb7jKrkK-1200-80.jpg,Science
96,Mattel Sued Over ‘Wicked’ Dolls That Included Link to Porn Website on Packaging - Variety,"Mattel is being sued for mistakenly printing the URL for a porn site on the packaging for dolls based on the '"Wicked'"  movie.","Mattel is being sued for mistakenly printing the URL for a pornographic site on the packaging for special-edition “Wicked” dolls. 
According to court documents, a South Carolina resident is launchin… [+1925 chars]",Variety,2024-12-03 18:23:00,https://variety.com/2024/film/news/mattel-sued-wicked-dolls-porn-website-1236233693/,https://variety.com/wp-content/uploads/2024/11/Mattel-Wicked-Dolls.png?w=869&h=563&crop=1,Entertainment
38,Unraveling the 50-Year Mystery of the Body in the Basement - Rolling Stone,"The Scene was the hottest club in New York. After it closed, a teen girl’s remains were discovered inside, leaving authorities with a puzzle to solve.","It’s a hot summer night in 1969, and for those of a certain age — young enough to turn on, tune in, drop out — Steve Paul’s the Scene is your place. As a spectator, a musician, a hanger-on. A place w… [+30782 chars]",Rolling Stone,2024-12-01 14:00:00,http://www.rollingstone.com/culture/culture-features/true-crime-mystery-murder-the-scene-new-york-1235156741/,https://www.rollingstone.com/wp-content/uploads/2024/11/bodyInTheBasementFinal-copy-1.jpg?w=1500&h=900&crop=1,Entertainment
72,35 Cyber Monday laptop deals you need to snag today: MacBooks to gaming - New York Post ,Laptop deals are still going strong this Cyber Monday!,"New York Post may be compensated and/or receive an affiliate commission if you buy through our links. Featured pricing is subject to change.
Here at Post Wanted, we love a good laptop. Even better: … [+13678 chars]",New York Post,2024-12-03 01:26:00,https://nypost.com/shopping/best-cyber-monday-laptop-deals-2024/,https://nypost.com/wp-content/uploads/sites/2/2024/12/laptopcyberfeat.jpg?quality=75&strip=all&w=1024,Technology
80,Big E returns to Raw to reunite New Day ... just not the way you’d think - Cageside Seats,"Big E was back in the ring with The New Day, but it went a different direction than you would have expected.","Xavier Woods and Kofi Kingston thanked the fans in Everett, Washington for celebrating them on this weeks episode of Monday Night Raw for their 10-year anniversary. Thats what the show was all about,… [+2003 chars]",Cageside Seats,2024-12-03 02:18:07,https://www.cagesideseats.com/wwe/2024/12/2/24311703/big-e-returns-wwe-raw-reunite-new-day-xavier-woods-kofi-kingston,https://cdn.vox-cdn.com/thumbor/Nmg8QBX2fUsxVTBvnUZ6oYa_Q3Q=/0x0:2081x1090/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/25770679/ND.png,E-Sports
55,Baldur’s Gate 3 Goes Out With a Final Bang in 2025 - Gizmodo,"Larian bids farewell to its fantasy-RPG next year with new subclasses, cross-play, and what else? Photo mode.","Of all last year’s major game releases, Baldur’s Gate 3 was the biggest in terms of reception and attention, and how much stuff was in it. Larian’s supported the game extensively since then, but the … [+2327 chars]",Gizmodo.com,2024-12-01 15:30:16,https://gizmodo.com/baldurs-gate-3-patch-8-2000532105,https://gizmodo.com/app/uploads/2024/08/Baldurs-Gate-3-Emperor-Romance-Scene.jpg,Sports
97,SF Giants broadcaster vehemently opposes 'absurd' proposed rule change - SFGATE,"San Francisco Giants broadcaster Mike Krukow is extremely against the '"Golden At-Bat'" idea that MLB Commissioner Rob Manfred floated recently.","Sportscaster Mike Krukow watches the game between the San Francisco Giants and the San Diego Padres from the broadcast center at Oracle Park on Oct. 1, 2021, in San Francisco.
Lachlan Cunningham/Get… [+1842 chars]",SFGate,2024-12-03 19:14:36,https://www.sfgate.com/giants/article/sf-giants-mike-krukow-opposes-golden-at-bat-19957395.php,https://s.hdnux.com/photos/01/46/22/60/26815546/3/rawImage.jpg,E-Sports
27,Intel Arc B570 GPU specs leak just days before launch - The Verge,"Intel is expected to release its Battlemage desktop GPU chips on December 3rd, but now a leaked spec sheet shows what we might see from the Arc B570 chip.","Intel Arc B570 GPU specs leak just days before launch
Intel Arc B570 GPU specs leak just days before launch
 / Intel is expected to release a pair of Battlemage desktop GPUs on December 3rd.
ByEmm… [+1611 chars]",The Verge,2024-12-01 15:12:50,https://www.theverge.com/2024/12/1/24310104/intel-arc-b570-battlemage-gpu-leaked-specs,https://cdn.vox-cdn.com/thumbor/p_SSAVLSsc4RBTbvdKFIQ-Q4QnU=/0x0:1784x1188/1200x628/filters:focal(875x648:876x649)/cdn.vox-cdn.com/uploads/chorus_asset/file/25767503/intel_arc_gpu_teaser.png,E-Sports
3,'Moana 2' Review: More Dutiful Than Inspired Sequel - Variety,"The songs lack Lin-Manuel Miranda''s magic, but the movie has vibrant monsters and a flow of movement that keeps your eyeballs dancing.","At the end of “Moana,” which came out in 2016, our plucky Polynesian heroine-who’s-not-a-princess had defeated the giant lava monster Te Kā and returned the heart of Te Fiti, the moss-green goddess o… [+5070 chars]",Variety,2024-11-26 17:00:00,https://variety.com/2024/film/reviews/moana-2-review-dwayne-johnson-auli-i-cravalho-1236222936/,https://variety.com/wp-content/uploads/2016/11/moana-2.jpg?w=1000&h=563&crop=1,Entertainment
